crc32,item
668110670,NR.CONFIG.MODE
2515476338,DS.NR.CONFIG.MODE
1025145342,LTE.RX_DCXO_TRAIN_DATA_TEMP
3323226451,LTE.RX_DCXO_TRAIN_DATA_FO
2671106531,LTE.RX_DCXO_TRAIN_DATA_COUNT
2754939852,LTE.RX_DCXO_OUTLIER_DATA_INFO
1693433681,LTE.RX_DCXO_OUTLIER_DATA_TEMP
1410493692,LTE.RX_DCXO_OUTLIER_DATA_FO
2663134,LTE.RX_DCXO_OUTLIER_DATA_TIME
10929658,LTE.RX_DCXO_OUTLIER_DATA_FUNC_ID
438146034,PAL.USER.TBL
1267288932,PAL.DBG.Config.Global.Output
338178655,PAL.DBG.Config.TxQueue.Max
3271817516,PAL.DBG.Config.TxQueue.Wrap
3219375618,PAL.DBG.Config.Polltime.BandA
652908472,PAL.DBG.Config.Polltime.BandB
1374529326,PAL.DBG.Config.Polltime.BandC
3527283398,PAL.DBG.Config.Entity.Tx
2221192512,PAL.DBG.Config.Entity.Rx
2932598490,PAL.DBG.Config.Group.Channel
4170887586,PAL.DBG.Config.Group.Info
2871175099,PAL.DBG.Config.MsgTrace.Id
2126704100,PAL.DBG.Config.MsgTrace.Level
134090856,PAL.DBG.Uart.Speed
192782819,PAL.CRASH.DUMP.MODE/Disable
975319708,PAL.DBG.Uart.Connection
4004778074,PAL.DBG.Trace.Memory.Max
4089698688,PAL.DBG.Config.SilentResetTest
365915606,PAL.BINARY.VER
3183819084,PAL.BackTraceLogging.Enable
1014091567,PAL.BtlMemDump.Enable
560397238,PAL.UART.Data.Speed
2067413143,PAL.WDT.Config.Enable.Hardware
1903487863,PAL.WDT.Config.Timeout.Hardware
4067670456,PAL.WDT.Config.Enable.Software
1364328942,PAL.WDT.Config.Timeout.Software.TASK
568660145,PAL.WDT.Config.Timeout.Software.HISR
1239248554,PAL.Sleep.Config.Disable
1200343257,PAL.L12Sleep.Config.Enable
4000452491,PAL.L12Sleep.Config.LPM
638488124,PAL.L12SleepIP.Config.Time(ms)
804564574,PAL.Scandump.To.Normaldump.enable
3558010084,PAL.DBGcore.Resetrelease.enable
3022683495,PAL.DcxoAdcSamplingRate.Config.30Hz
1892071111,PAL.GPIOPowerDownMode.Config.Enable
785704178,PAL.PartialReset.Config.Enable
2595336350,PAL.RFICDVS.Config.Enable
2606756230,PAL.SR1DVS.Config.Enable
3079006654,PAL.DCXO.Config.InternalLdoVoltage
3136316762,PAL.Ctrl.Config.PWRENCP.GNSSMIFUP
2376785132,PAL.Ctrl.Config.Disable.PDAActive.LowInt
2845278912,PAL.STATS.Enable
351872271,PAL.STATS.Config.Period
2586031233,PAL.PRF.Config.Buffer.Size
784027224,PAL.PRF.Config.Buffer.WrapMode
556401855,PAL.PRF.Config.Groups.Mask
440692230,PAL.PRF.Config.AutoStart
2203902112,PAL.PRF.Config.AutoUpload
1176140680,"PAL.UI.Selection (0=SHP, 1=TUI)"
1021969701,PAL.PS.Config.HpcmSelectionMask
4161638121,PAL.PS.Config.AllowUART1Off
3937935623,PAL.PS.Config.AllowUART2Off
2498503028,PAL.PS.Config.DVFS_Enable
1547970311,"PAL.PS.Config.DVFS_Level 0:66, 1:33"
502692169,PAL.PS.Config.PD_ONESHOT
2413912091,PAL.NV.HW.U_PA_Control
257994254,PAL.NV.HW.Arm_PLL_warmup
1949551488,PAL.NV.HW.USB_PLL_warmup
1115469085,PAL.Imsi
4107027752,PAL.Imsi.Length
3581936153,DS_PAL.Imsi
2854168247,DS_PAL.Imsi.Length
2680263066,PAL.EPD Mode
114312718,DS_PAL.EPD Mode
5271711,PAL.SW DOWNLOAD MODE VALUE
2029709236,PAL.SYS_DEV_IF_TYPE
3156174474,PAL Virtual Socket IF TYPE
473358295,PAL TP CONT_HIGH_TPUT_MAX_CNT
1274972304,PAL TP CONT_LOW_TPUT_MAX_CNT
2428311249,PAL TP_LS_CHANGE_WITHOUT_UL_TH
2430711618,PAL TP_HS_CHANGE_WITHOUT_UL_TH
1373929807,PAL TP_HS_WAKEUP_WITHOUT_UL_TH
27921480,PAL TP_LS_CHANGE_WITH_UL_TH
1330112273,PAL TP_HS_CHANGE_WITH_UL_TH
2662504699,PAL TP_HS_WAKEUP_WITH_UL_TH
2160048100,PAL USB_HOST_MAX_BUF_SIZE
1970903244,PAL SET_MAX_CLOCK
2061598827,PAL DISPLAY_IDLE_RATIO
3905763610,PAL.WORK_MON_PERIOD
1355783307,PAL MEMORY_TRACKING_ENABLE
2578088919,PAL.APPPMU_MODE
2845656166,PAL.PPMU_MEASURE_PERIOD
1145905267,PAL.PPMU_MODE
3732257164,PAL.PPMU_GROUP
4079048062,PAL.PPMU_LOG_ENABLE
2754585584,PAL.PPMU_LOGGING_CNT
220041995,PAL.PPMU_ELEMENT
428828344,PAL.WOW_THRESHOLD3
2136155836,PAL.WOW_LOG_ENABLE
2836798766,PAL.ARM_PROFILER_ENABLE
186466734,PAL.LLC_ENABLE
1942893712,PAL.LLC_ALLOC_SIZE
3599377050,PAL.LLC_HISR_PRIORITY
623203369,PAL.LLC_LIMIT_VALUE
1464648590,PAL.RUNTIMEPM_ENABLE
319143440,PAL.PDONOFF_ENABLE
2378864125,PAL OS_TRACE_EVENTS_LEVEL
195099034,PAL WAKE_UP_MIF_TIME
4095611561,PAL.MRU_CARRIER_TYPE
1075926402,PAL.DS_MRU_CARRIER_TYPE
3519400394,PAL.MRU_INSTALLED_CARRIER_TYPE
3151636262,PAL.CARRIER.CODE
3455663516,PAL.NETWORK_CARRIER.CODE
1540215631,PAL.DS_NETWORK_CARRIER.CODE
2331265881,TCS.SA_DISABLE
952752997,DS.TCS.SA_DISABLE
365874622,PAL.TCS.NVDUMMY_18
2442638833,PAL REG DUMMY_05
1544881941,PAL.NSVC.Total_Count
4122907694,PAL.NSVC.Level_Count
3875900105,PAL.NSVC.State_Bitmap
577258859,PAL.No_SIM.COMM_Error_Count
4133488986,PAL.No_SIM.Daily_Count
1807318845,PAL.No_SIM.Max_Null_Proc_Count
3101411086,PAL.SIM.Recovery_Count
2186906739,PAL.SIM.Parity_Error_Count
391743710,PAL.No_ESIM.COMM_Error_Count
2275863242,PAL.No_ESIM.Max_Null_Proc_Count
1414916741,PAL.ESIM.Recovery_Count
2217243500,PAL.ESIM.Parity_Error_Count
2239512451,PAL.ESIM.Swap_Count
2350276336,PAL.SIM.Def_Debounce_Time
3444054039,PAL.IMEM_NOC.BUSMON
2324464023,OS.INTERRUPT.CHECK.MODE
1349525314,PAL.SIM.UsimGpioStrength
1819222042,PAL.SIM.ExtraWWT
175053051,PAL.SIM.UsimNullByteTimerThreshold
3110372302,PAL.RXBuffer_Alloc_Size
1611228171,PAL.T1.NAD_Addressing_Used
931093372,PAL.T1.Violation_Cntr_Threshold
158169749,PAL.T1.WarmCold_Reset_permitted
3227004039,PAL.T1.SCI_TX_fifo_Length
3082574283,PAL.T1.xCtrl_Post_Abort
1892257583,PAL.T1.Allow_Resynch_Req
870114451,PAL.T1.Max_Resynch_Loop_Count
3760602738,PAL.T1.Max_WTX_req_Count
4040066177,PAL.T1.SCI_HW_Offset
1697198336,PAL.TCS.ImsiValue
1762768603,PAL.TCS_DS.ImsiValue
170649878,PAL.TMU.Setting_value
1368161802,PAL WAKE_UP_SOC_TIME
482436010,PAL_DBG_BLOCK_ITEM_DVFS
4254788496,PAL.CPU_MAX_ENABLE
2115317038,PAL.MIF_MAX_ENABLE
3672995330,PAL.LCPU_FIX_ENABLE
2130802875,PAL.CPU_LOG_ENABLE
3439984295,PAL.DVFS_LOG_ENABLE
2292236417,PAL.ABSOLUTE_CPULOAD_ENABLE
4136301803,PAL.ABSOLUTE_CPULOAD_S_HRT
2389932432,PAL.ABSOLUTE_CPULOAD_TH_IDLE
1270802596,PAL.MSTATE_CHECK_DURATION
2110607557,PAL.MSTATE_TRAVERSE_DURATION
2806120252,PAL.PCIe.DLPOLLING.UpperTP
363285119,PAL.PCIe.DLPOLLING.LowerTP
3692949603,PAL.PCIe.DLPOLLING.MiddlePollPeriod
1565444018,PAL.PCIe.APMModeDown.Enable
1170730469,PAL.PCIe.Enable.Checking.Queue
1850753998,PAL.PCIe.Enable.AP2CP_WAKEUP.EDGE
3156129297,PAL.PCIe.Change.AP2CP_WAKEUP.POL
1549678404,"ATI Profile, Client/Profile Table"
1450295239,"ATI Profile, Data Core Shared"
3770382335,"ATI Profile, Data Specific #1"
2041718341,"ATI Profile, Data Specific #2"
246748883,"ATI Profile, Data Specific #3"
2429649776,"ATI Profile, Data Specific #4"
3889607654,"ATI Profile, Data Specific #5"
2128601692,"ATI Profile, Data Specific #6"
165204682,"ATI Profile, Data Specific #7"
377473585,"ATI Profile, Factory Default Core Shared"
4192805041,"ATI Profile, Factory Default Specific"
2969448221,ATI Poduct Identity: Model ID
211535059,ATI Poduct Identity: Revision ID
2078896252,ATI Poduct Identity: Manufacturer ID
3257003950,TA Capabilities
1235857533,Command.Timeout
1568620776,ATI UART Inactivity Timeout
4059116167,ATI Reset Alert
556929602,ATI Trace Buffer Length
3475530946,ATI Address Type List
2099227742,ATI Address Type
4132460075,ATI_RssiReportThreshold
3773261803,AT command port number
640344477,ATI SMS.Service
1641482532,ATI SMS.FirstOctet
2502224197,ATI SMS Service Centre Address (SCA)
1005938513,ATI SMS Cell Broadcast Config)
40747994,ATI SMS CB Message IDs List
2515266496,ATI SMS CB Language(DCS) List
3412462060,ATI SMS.Display
3762937613,AT foward to AP for IMS
2289922866,NASU DM trace table
3532296958,NASU DM trace table2
2598393331,NASU DM extensible metric table
3013235076,NASU DM extensible metric internal table
2092678441,NASU DM Exmetric Log Setting
50345749,NASU DM extensible metric table for ddcm
2066959464,NASU DM extensible metric internal table for ddcm
1703725251,NASU DM send DM message in sleep state
326689592,NASU DM use default table
2464301694,NASU DM DSP CC LOG CONFIG
1966096771,NASU.NS Attach Type
1189094929,UE RAT MODE CARRIER CONFIG
1967869267,DS.UE RAT MODE CARRIER CONFIG
438493293,NASU DL LTE Buffer Count
1195887113,NASU DL UMTS Buffer Count
3560555063,NASU DL GPRS_Buffer Count
2770861416,NASU Downlink Buffer Size
3733084991,NASU UL LTE Buffer Count
3269876330,NASU UL UMTS Buffer Count
2126431910,NASU UL GRPS_Buffer Count
3707558734,NASU Uplink Buffer Size
141963304,NASU PPP Link Mode)
3649443329,NASU UMTS CDH BitRev Default
2596479437,NASU CDH Downlink Buffer Count
925296057,NASU CDH Downlink Buffer Size
3750012877,NASU CDH Downlink Buffer Hdr Size
1534035607,NASU CDH Uplink Buffer Values Override Toggle
1785190016,NASU CDH Uplink Buffer Count
2621631529,NASU CDH Uplink Buffer Size
763406629,NASU CDH Uplink Buffer Hdr Size
2723412293,DHCP Proxy Server Enable
1004582267,NASU Auto Sync Start
2946284877,Phone Data Test mode
3705570431,NASU GCF Data Block Test mode
3087441135,NASU Ping Transfer mode
4130833311,NASU.PING_DEBUG_MODE
2701745873,TcpAck.Discard.Mode
2110029912,NASU.SIPC.NetworkMode.ManualEnable
1356925632,NASU.SIPC.NetworkMode.ManualMode
1348360262,NASU.SIPC.PhoneControl.Imsi.ReplacementEnable
1803472577,NASU.AP.CallConfirmFeature
917780568,Power.On.Attach.Status
1457402849,SKT UICC_Open_Mode
240308504,NASU.USIM.ProactiveCmd Enb/Dis
2333357281,NASU.CFG.Test ATI Port Number
3401966553,DS_ATI SMS Service Centre Address (SCA)
1413781104,DS_ATI SMS Cell Broadcast Config)
381989400,DS_NASU.SIPC.NetworkMode.ManualMode
4232326951,DS_NASU.NS Attach Type
4053775060,DS_NASU.SIPC.NetworkMode.ManualEnable
1986521128,DS_NASU.AP.CallConfirmFeature
1154694753,DS_Power.On.Attach.Status
3276825829,DSDS.MTI.Stack.Config
2306215677,NASU.EF_RAT Free Supporting
2832942631,NASU.Service Programming Code
1321253547,NASU.DNS QUERY BLOCK
3523428072,NASU.Sprint LTE Roaming
3027721328,NASU.LTE Band Priority
2778382326,NASU.FD enable
482186824,NASU.Reject.Restart.Enable
1313253554,NASU.Reject.History.MM.Time
2903271390,NASU.Reject.History.MM.Type
3542272560,NASU.Reject.History.MM.Cause
1346184326,NASU.Reject.History.MM.Plmn
3850291419,NASU.Reject.History.MM.Rat
3168574487,NASU.Reject.History.GMMEMM.Time
1603687291,NASU.Reject.History.GMMEMM.Type
1970014051,NASU.Reject.History.GMMEMM.Cause
2728857635,NASU.Reject.History.GMMEMM.Plmn
491398024,NASU.Reject.History.GMMEMM.Rat
2542660424,DS_NASU.Reject.History.MM.Time
1959207972,DS_NASU.Reject.History.MM.Type
2392005233,DS_NASU.Reject.History.MM.Cause
2314626940,DS_NASU.Reject.History.MM.Plmn
4167560754,DS_NASU.Reject.History.MM.Rat
4040834488,DS_NASU.Reject.History.GMMEMM.Time
328266452,DS_NASU.Reject.History.GMMEMM.Type
860471227,DS_NASU.Reject.History.GMMEMM.Cause
4003574156,DS_NASU.Reject.History.GMMEMM.Plmn
1929106089,DS_NASU.Reject.History.GMMEMM.Rat
1222268976,NASU.LTE.ATTACH.APN.INFO
1714351820,NASU.LAST.REGISTERED.PLMN
1538800603,NASU.LAST.INSERTED.IMSI
3227713361,NASU.LAST.MCC
2988121951,NASU.LAST.GID1
2940011224,DS_NASU.LTE.ATTACH.APN.INFO
3357041628,DS_NASU.LAST.REGISTERED.PLMN
80729301,DS_NASU.LAST.INSERTED.IMSI
932821467,DS_NASU.LAST.MCC
3212938791,DS_NASU.LAST.GID1
4123871128,NASU.MTI Main Card number
3868388616,NASU.Phone Debug Mode
4284983521,NASU.TestHarnessLogEnable
4269550304,NASU.ATT.DISABLE.2G
3719111738,DS.NASU.ATT.DISABLE.2G
2293806211,NASU.AP.NET.MODE
189066245,DS.NASU.AP.NET.MODE
3985434780,NASU_AUTOLOGIN_MODE
59247400,NASU_REGISTER_AUTOLOGIN
2652023743,NASU_REGISTER_AUTOLOGIN_IMSI
3543323359,NASU_REGISTER_AUTOLOGIN_APSWVER
1294258537,NASU_REGISTER_IMS_SMS_AUTOLOGIN
1585076123,NASU_REGISTER_AUTOLOGIN_LTE_IMSI
581517989,ds_NASU_REGISTER_IMS_SMS_AUTOLOGIN
3435615379,ds_NASU_REGISTER_AUTOLOGIN_LTE_IMSI
4148555641,NASU.VSIM.Enable
588980080,NASU.ds.VSIM.Enable
2827665265,NASU.BLOCK.APN
3759510476,NASU.BLOCK.APN.LIST
2769301001,DS_NASU.BLOCK.APN
1768029544,DS_NASU.BLOCK.APN.LIST
3148633337,NASU.PREF.NET.TYPE
2532028937,NASU.VOLTE.CAPA
3359166870,DS_NASU.VOLTE.CAPA
3969514013,ATI_ENABLE
4255675645,NASU.BLOCK.EMC.RETRIAL
1526970815,NASU.LTE WEAK TH.FOR.CODEC
621372164,NASU.LTE WEAK TH.FOR.UL.PACKET.BLOCK
3271571521,NASU.DSDSMODE
3982266311,NASU.MNC.LENGTH
144467108,NASU.ds.MNC.LENGTH
3135862327,NASU.DOMESTIC.DATA.STATUS
4129452470,NASU.ROAMING.DATA.STATUS
312463706,DS.NASU.DOMESTIC.DATA.STATUS
3881453851,DS.NASU.ROAMING.DATA.STATUS
4128544691,NR.CONFIG.USER.PREF.MODE
1559273091,NR.MANUAL.MODE.ENABLE
3882659614,DS.NR.CONFIG.USER.PREF.MODE
3694736678,NR.LOW.POWER.MODE
667923812,NR.SILENCE.ENABLE
4133837567,NSA.SILENCE.MODE
3287355932,SA.SILENCE.MODE
3165761118,NR.ENDC.MODE
1972961913,DS.NSA.SILENCE.MODE
3962327819,DS.SA.SILENCE.MODE
1120066763,DS.NR.ENDC.MODE
2988316930,OMC.BASED.NR.PLMN.ENABLE
3903264632,OMC.NR.PLMN.LIST.MODE
2702346900,OMC.NR.PLMN.LIST.COUNT
3533611952,OMC.NR.PLMN.LIST.DATA
3839511085,OMC.NR.SA.PLMN.LIST.COUNT
3305271197,OMC.NR.SA.PLMN.LIST.DATA
1788634025,OMC.NR.SA.FEATURE.PLMN.LIST.COUNT
1036259840,OMC.NR.SA.FEATURE.PLMN.LIST.DATA
4197191739,OMC.BASED.DSS.PLMN.ENABLE
3893149356,OMC.DSS.PLMN.LIST.MODE
548157424,OMC.DSS.PLMN.LIST.COUNT
3526691428,OMC.DSS.PLMN.LIST.DATA
2253955422,OMC.NR.SA.DSS.PLMN.LIST.COUNT
2599732161,OMC.NR.SA.DSS.PLMN.LIST.DATA
867143358,OMC.BASED.VONR.PLMN.ENABLE
45792787,OMC.VONR.PLMN.LIST.MODE
2073571309,OMC.VONR.PLMN.LIST.COUNT
948112091,OMC.VONR.PLMN.LIST.DATA
4212846930,OMC.BASED.NSA.NRCA.PLMN.ENABLE
2441115007,OMC.NSA.NRCA.PLMN.LIST.MODE
1057962069,OMC.NSA.NRCA.PLMN.LIST.COUNT
2881077687,OMC.NSA.NRCA.PLMN.LIST.DATA
2839686454,OMC.BASED.SA.NRCA.PLMN.ENABLE
561233976,OMC.SA.NRCA.PLMN.LIST.MODE
3607568339,OMC.SA.NRCA.PLMN.LIST.COUNT
457864432,OMC.SA.NRCA.PLMN.LIST.DATA
2741379503,DS.OMC.BASED.NR.PLMN.ENABLE
1959277627,DS.OMC.NR.PLMN.LIST.MODE
1314649501,DS.OMC.NR.PLMN.LIST.COUNT
1324450035,DS.OMC.NR.PLMN.LIST.DATA
1286401344,DS.OMC.NR.SA.PLMN.LIST.COUNT
3564787504,DS.OMC.NR.SA.PLMN.LIST.DATA
1045561768,DS.OMC.NR.SA.FEATURE.PLMN.LIST.COUNT
770783990,DS.OMC.NR.SA.FEATURE.PLMN.LIST.DATA
2455303980,OMC.LTE.FEATURE.PLMN.LIST.COUNT
2617179869,OMC.LTE.FEATURE.PLMN.LIST.DATA
1381676886,DS.OMC.BASED.DSS.PLMN.ENABLE
122012069,DS.OMC.DSS.PLMN.LIST.MODE
1503643179,DS.OMC.DSS.PLMN.LIST.COUNT
1031566701,DS.OMC.DSS.PLMN.LIST.DATA
843788495,DS.OMC.NR.SA.DSS.PLMN.LIST.COUNT
2195416381,DS.OMC.NR.SA.DSS.PLMN.LIST.DATA
321020,DS.OMC.BASED.VONR.PLMN.ENABLE
2072596424,DS.OMC.VONR.PLMN.LIST.MODE
1793070912,DS.OMC.VONR.PLMN.LIST.COUNT
1102117632,DS.OMC.VONR.PLMN.LIST.DATA
2091270417,DS.OMC.BASED.NSA.NRCA.PLMN.ENABLE
157417128,DS.OMC.NSA.NRCA.PLMN.LIST.MODE
656449193,DS.OMC.NSA.NRCA.PLMN.LIST.COUNT
861424224,DS.OMC.NSA.NRCA.PLMN.LIST.DATA
491895975,DS.OMC.BASED.SA.NRCA.PLMN.ENABLE
316189562,DS.OMC.SA.NRCA.PLMN.LIST.MODE
1340511236,DS.OMC.SA.NRCA.PLMN.LIST.COUNT
685842354,DS.OMC.SA.NRCA.PLMN.LIST.DATA
1699325538,LOCK.POLICY
3525844443,IMEI.BLOB.DATA0
2771332429,IMEI.BLOB.DATA1
1009155319,IMEI.BLOB.DATA2
3950703676,NASU.REQ1XMODE.KEY.BACK.UP
3637616510,DS.NASU.REQ1XMODE.KEY.BACK.UP
1663637906,NASU.5RAT.MODE.UPDATE.CTRL
406297457,NASU.6RAT.MODE.UPDATE.CTRL
2429282059,NASU.IND.FILTER
3205932572,DS.NASU.IND.FILTER
897157309,NASU.MODEM.STATE
3062222907,DS.NASU.MODEM.STATE
400895764,NASU.TEMP.VDD.CTRL
3461425072,NASU.ECALL.DORMANT.MODE
2715534619,NASU.TEMP.CTC.VOLTE.NR.HOLD
3793528674,NASU.BLOCK.BTL.PROFILE.SET
890014581,NASU.GATE.STATE
449956450,DS.NASU.GATE.STATE
1706199855,NASU.SHIP.STATE
3373041797,NASU.LTE.ENABLED
1257295875,DS.NASU.LTE.ENABLED
102530880,NASU.ACCEL.TEST
2455323066,NASU.LCPU.LOG.SWITCH
2954104441,NASU.DM.TRACE.PRIORITY
2629261993,NASU.INTERNAL.DEBUG.SCREEN
4203710685,NASU.ATT.HIDDEN.MENU.MODE
1392062384,DS.NASU.ATT.HIDDEN.MENU.MODE
968095057,NASU.SUPPORTED.EMC.IMS
3606743640,DS.NASU.SUPPORTED.EMC.IMS
4227871206,EMC.LAB.TEST.MODE
1861261133,NASU.NR.CONFIG.MODE
1294047639,DS.NASU.NR.CONFIG.MODE
630649198,EMC.FEATURE_SUPPORT
3507159227,EMC.SCANNING.TIMER.VALUE
2117181699,EMC.FIRST.DOMAIN.PS.PREFERRED
105381812,DS.EMC.FEATURE_SUPPORT
3228776470,DS.EMC.SCANNING.TIMER.VALUE
3391238290,DS.EMC.FIRST.DOMAIN.PS.PREFERRED
1139831197,RETRY.NO.RETRY.TIMER
2226253583,NASU.NET.CTRLD.SYSTEM.SELECT
2627619315,DS.NASU.NET.CTRLD.SYSTEM.SELECT
2366230185,NASU.MANIFEST.NAME
3632151456,NASU.MANIFEST.PATH
1735744066,NASU.DONT.APPLY.SAME.MANIFEST.PATH
2974635388,NASU.CC.IMSI
814740276,NASU.CC.IMSI.LENGTH
3461313564,NASU.CARRIER.CONFIG.SIM.INFO
2237705054,DS.NASU.MANIFEST.NAME
3491192407,DS.NASU.MANIFEST.PATH
270967990,DS.NASU.DONT.APPLY.SAME.MANIFEST.PATH
1329473513,DS.NASU.CC.IMSI
324992494,DS.NASU.CC.IMSI.LENGTH
3596669664,DS.NASU.CARRIER.CONFIG.SIM.INFO
